Qubit;Pair;T1 (µs);T2 (µs);f1QRB;f1QRB std err;f1Q sim. RB;f1Q sim. RB std err;fActiveReset;fRO;fXY;fXY std err;fCZ;fCZ std err;Avg T1 (µs);Avg T2 (µs);Avg fActiveReset;Avg fRO;Date;;fXYxfCZ;std
102;;12.76;2.090;0.9224;0.01003;0.9968;0.0002864;0.9965;0.9525;;;;;;;;;Invalid date;;;
103;;44.74;14.60;0.9525;0.03504;0.9989;0.0003270;0.9970;0.8510;;;;;;;;;Invalid date;;;
104;;5.376;2.701;0.9856;0.003719;0.9798;0.002153;0.9610;0.8510;;;;;;;;;Invalid date;;;
105;;31.20;26.81;0.9975;0.00009716;0.9987;0.0004155;0.9990;0.9890;;;;;;;;;Invalid date;;;
106;;20.93;21.43;0.9987;0.0002161;0.9969;0.0002568;0.9925;0.9765;;;;;;;;;Invalid date;;;
107;;14.15;19.21;0.9975;0.0003433;0.9923;0.0006120;0.9855;0.9720;;;;;;;;;Invalid date;;;
110;;37.70;53.08;0.9988;0.0002908;0.9947;0.0006211;0.9930;0.9550;;;;;;;;;Invalid date;;;
111;;54.46;23.57;0.7809;0.4532;0.9978;0.0005821;0.9600;0.9480;;;;;;;;;Invalid date;;;
112;;37.34;39.50;0.9981;0.0001285;0.9975;0.0004178;0.9955;0.9830;;;;;;;;;Invalid date;;;
113;;77.63;35.57;0.9986;0.0003846;0.9946;0.0004070;0.9965;0.9350;;;;;;;;;Invalid date;;;
114;;15.53;25.01;0.9981;0.0001474;0.9951;0.0009945;0.9980;0.9735;;;;;;;;;Invalid date;;;
115;;44.57;35.14;0.9621;0.004672;0.9977;0.0002980;0.9965;0.9745;;;;;;;;;Invalid date;;;
116;;34.61;40.54;0.9988;0.00009509;0.9968;0.0006952;0.9980;0.9800;;;;;;;;;Invalid date;;;
117;;3.273;2.788;0.9616;0.004673;0.9595;0.004899;0.7430;0.9425;;;;;;;;;Invalid date;;;
120;;28.29;48.33;0.9980;0.0002528;0.9973;0.0001777;0.9705;0.9395;;;;;;;;;Invalid date;;;
121;;35.29;44.26;0.9990;0.00009005;0.9912;0.0003891;0.9885;0.9700;;;;;;;;;Invalid date;;;
122;;25.34;21.17;0.9986;0.00007349;0.9958;0.0002889;0.9910;0.9810;;;;;;;;;Invalid date;;;
123;;40.56;47.82;0.9994;0.0001621;0.9976;0.0003001;0.9980;0.9415;;;;;;;;;Invalid date;;;
124;;50.18;43.62;0.9990;0.0002062;0.9982;0.0001370;0.9965;0.9755;;;;;;;;;Invalid date;;;
125;;28.16;39.33;0.9994;0.0006448;0.9915;0.0005821;0.9990;0.9830;;;;;;;;;Invalid date;;;
126;;20.82;4.623;0.9981;0.0001340;0.9971;0.0001644;0.9990;0.9255;;;;;;;;;Invalid date;;;
127;;8.193;10.38;0.9738;0.009367;0.9917;0.0007001;0.9865;0.9370;;;;;;;;;Invalid date;;;
130;;10.26;18.63;0.9968;0.0001090;0.9949;0.0002379;0.9975;0.9730;;;;;;;;;Invalid date;;;
131;;39.58;67.26;0.9992;0.0002508;0.9991;0.001171;0.9985;0.9595;;;;;;;;;Invalid date;;;
132;;25.19;7.348;0.9959;0.0001585;0.9981;0.00004609;0.9985;0.9770;;;;;;;;;Invalid date;;;
133;;76.68;23.06;0.9992;0.0001773;0.9984;0.0002184;0.9970;0.9425;;;;;;;;;Invalid date;;;
134;;39.04;32.93;0.9995;0.0001406;0.9963;0.0003282;0.9995;0.9800;;;;;;;;;Invalid date;;;
135;;30.69;7.769;0.9460;0.002651;0.9686;0.002188;0.9975;0.9620;;;;;;;;;Invalid date;;;
136;;21.80;38.80;0.9984;0.00008364;0.9920;0.0008609;0.9510;0.9565;;;;;;;;;Invalid date;;;
137;;46.95;17.45;0.9990;0.0001136;0.9976;0.0004651;0.9990;0.9815;;;;;;;;;Invalid date;;;
140;;13.28;3.490;0.9958;0.0001467;0.9910;0.0004353;0.9940;0.9805;;;;;;;;;Invalid date;;;
141;;70.46;69.00;0.9978;0.0004528;0.9984;0.0001997;0.9995;0.9680;;;;;;;;;Invalid date;;;
142;;14.67;8.355;0.9961;0.0004485;0.9836;0.001711;0.9890;0.9645;;;;;;;;;Invalid date;;;
143;;47.63;19.46;0.9954;0.0003691;0.9980;0.0001709;0.9980;0.9300;;;;;;;;;Invalid date;;;
144;;3.916;3.724;0.9934;0.0003779;0.9890;0.0006376;0.9910;0.9615;;;;;;;;;Invalid date;;;
145;;36.68;9.078;0.9973;0.0001832;0.9972;0.0001863;0.9995;0.9605;;;;;;;;;Invalid date;;;
146;;20.68;3.941;0.9936;0.0003425;0.9982;0.0001716;0.9995;0.9715;;;;;;;;;Invalid date;;;
147;;25.67;23.00;0.9942;0.0004011;0.9948;0.0002291;0.9990;0.9685;;;;;;;;;Invalid date;;;
